title,price
Acer Intel Core i3 N305 - (8 GB/SSD/256 GB SSD/Chrome OS) CB514-4H-39T7 Chromebook,"₹28,990"
Acer Intel Core i3 13th Gen 1315U - (8 GB/SSD/256 GB SSD/Chrome OS) Chromebook Plus Chromebook,"₹38,990"
Apple 2020 Macbook Air Apple M1 - (8 GB/SSD/256 GB SSD/Mac OS Big Sur) MGN63HN/A,"₹63,990"
ASUS Vivobook 15 Intel Core i3 12th Gen 1215U - (8 GB/SSD/512 GB SSD/Windows 11 Home) X1502ZA-EJ953WS ...,"₹37,990"
HP 2023 Intel Core i3 12th Gen 1215U - (8 GB/SSD/512 GB SSD/Windows 11 Home) 15s-fy5003TU Thin and Lig...,"₹36,990"
DELL Inspiron 3520 Intel Core i3 12th Gen 1215U - (8 GB/SSD/512 GB SSD/Windows 11 Home) New Inspiron 1...,"₹37,690"
HP AMD Ryzen 3 Quad Core 5300U - (8 GB/SSD/512 GB SSD/Windows 11 Home) 15s-eq2143au Thin and Light Lap...,"₹31,990"
CHUWI Intel Celeron Dual Core 10th Gen N4020 - (4 GB/SSD/128 GB SSD/Windows 11 Home) HeroBook Air Lapt...,"₹13,990"
Lenovo V15 AMD Ryzen 3 Quad Core 7320U - (8 GB/SSD/512 GB SSD/Windows 11 Home) V15 G4 AMN 1 Thin and L...,"₹27,490"
ASUS Vivobook 15 (2024) Intel Core i3 12th Gen 1215U - (16 GB/SSD/512 GB SSD/Windows 11 Home) X1502ZA-...,"₹41,990"
CHUWI Intel Celeron Dual Core 11th Gen N4020 - (8 GB/SSD/256 GB SSD/Windows 11 Home) HeroBook Plus Lap...,"₹18,990"
Ultimus Elite Intel Core i5 10th Gen - (8 GB/SSD/512 GB SSD/Windows 11 Home) NU14U3INF56BN-CS Thin and...,"₹20,500"
MSI Modern 14 AMD Ryzen 5 Hexa Core 7530U - (8 GB/SSD/512 GB SSD/Windows 11 Home) Modern 14 C7M-063IN ...,"₹33,990"
HP Intel Core i5 13th Gen 1335U - (8 GB/SSD/512 GB SSD/Windows 11 Home) 15-fd0187TU Thin and Light Lap...,"₹52,990"
Acer One Intel Core i3 11th Gen 1115G4 - (8 GB/SSD/512 GB SSD/Windows 11 Home) AO 14 Z 8-415 Thin and ...,"₹26,990"
ASUS Vivobook 15 (2024) Intel Core i5 12th Gen 1235U - (16 GB/SSD/512 GB SSD/Windows 11 Home) X1502ZA-...,"₹52,990"
Ultimus Elite Intel Core i5 10th Gen 1035G4 - (8 GB/SSD/512 GB SSD/Windows 11 Home) NU14U3INF56BN-MB T...,"₹20,500"
CHUWI Intel Core i3 12th Gen Intel Core i3-1215U - (12 GB/SSD/512 GB SSD/Windows 11 Home) FreeBook 2 i...,"₹37,990"
Acer Aspire 3 Intel Core i3 12th Gen 1215U - (8 GB/SSD/512 GB SSD/Windows 11 Home) A324-51 Thin and Li...,"₹29,990"
HP 255 G9 AMD Ryzen 3 Dual Core R3 3250 - (8 GB/SSD/512 GB SSD/Windows 11 Home) 255 G8 Business Laptop,"₹25,989"
Lenovo V15 Intel Celeron Dual Core 4th Gen N4500 - (8 GB/SSD/256 GB SSD/Windows 11 Home) 82QYA00MIN La...,"₹22,790"
Acer Predator Neo (2023) Intel Core i5 13th Gen 13500HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graph...,"₹89,990"
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/SSD/512 GB SSD/Windows 11 Home) X1502ZA-EJ515WS ...,"₹48,990"
Acer Swift Go 14 EVO OLED Intel Core i5 13th Gen 13500H - (16 GB/SSD/512 GB SSD/Windows 11 Home) SFG14...,"₹59,990"
